first;second;tupleType;plagType;plagTypeGroup;tool;avg similarity;max similarity
2023-3;2022-3;Original-Original;;;JPlag;13.058419243986256;13.768115942028986
2020-2;2019-2;Original-Original;;;JPlag;12.962962962962962;14.18918918918919
2019-4;2017-3;Original-Original;;;JPlag;12.76595744680851;13.157894736842104
2023-2;2022-3;Original-Original;;;JPlag;12.371134020618557;13.043478260869565
2016-2;2019-3;Original-Original;;;JPlag;12.32876712328767;13.533834586466165
2016-2;2019-2;Original-Original;;;JPlag;12.297734627831716;14.285714285714285
2023-1;2016-2;Original-Original;;;JPlag;11.864406779661017;13.592233009708737
2018-3;2022-3;Original-Original;;;JPlag;11.808118081180812;13.559322033898304
2023-1;2023-2;Original-Original;;;JPlag;11.618257261410788;13.592233009708737
2020-1;2020-2;Original-Original;;;JPlag;11.510791366906476;12.307692307692308
2023-2;2019-2;Original-Original;;;JPlag;11.464968152866243;13.043478260869565
2017-2;2021-2;Original-Original;;;JPlag;11.155378486055776;11.666666666666666
2023-1;2021-2;Original-Original;;;JPlag;11.11111111111111;12.62135922330097
2020-1;2019-3;Original-Original;;;JPlag;11.072664359861593;12.307692307692308
2021-1;2020-1;Original-Original;;;JPlag;11.063829787234042;12.380952380952381
2023-1;2016-1;Original-Original;;;JPlag;11.029411764705882;14.563106796116504
2023-1;2019-1;Original-Original;;;JPlag;11.016949152542372;12.62135922330097
2021-1;2019-1;Original-Original;;;JPlag;10.92436974789916;12.380952380952381
2018-3;2022-1;Original-Original;;;JPlag;10.884353741496598;13.559322033898304
2017-2;2023-3;Original-Original;;;JPlag;10.852713178294573;11.666666666666666
2017-3;2019-2;Original-Original;;;JPlag;10.774410774410773;13.223140495867769
2023-1;2017-1;Original-Original;;;JPlag;10.714285714285714;11.650485436893204
2021-1;2019-2;Original-Original;;;JPlag;10.676156583629894;14.285714285714285
2020-1;2022-3;Original-Original;;;JPlag;10.60070671378092;11.538461538461538
2020-1;2021-3;Original-Original;;;JPlag;10.566037735849058;10.76923076923077
2016-2;2021-3;Original-Original;;;JPlag;10.44776119402985;10.526315789473683
2016-1;2019-2;Original-Original;;;JPlag;10.434782608695652;10.650887573964498
2019-4;2018-3;Original-Original;;;JPlag;10.344827586206897;10.526315789473683
2016-2;2023-3;Original-Original;;;JPlag;10.33210332103321;10.526315789473683
2019-4;2017-2;Original-Original;;;JPlag;10.256410256410255;10.526315789473683
2017-1;2022-3;Original-Original;;;JPlag;10.218978102189782;11.570247933884298
2018-3;2019-3;Original-Original;;;JPlag;10.108303249097473;11.864406779661017
2018-3;2017-2;Original-Original;;;JPlag;10.084033613445378;10.16949152542373
2017-2;2023-2;Original-Original;;;JPlag;10.077519379844961;10.833333333333334
2017-1;2017-3;Original-Original;;;JPlag;9.917355371900827;9.917355371900827
2019-4;2020-1;Original-Original;;;JPlag;9.836065573770492;10.526315789473683
2019-4;2021-2;Original-Original;;;JPlag;9.795918367346939;10.526315789473683
2023-2;2018-5;Original-Original;;;JPlag;9.58904109589041;10.144927536231885
2019-4;2023-2;Original-Original;;;JPlag;9.523809523809524;10.526315789473683
2019-4;2019-3;Original-Original;;;JPlag;9.523809523809524;11.403508771929824
2017-2;2016-2;Original-Original;;;JPlag;9.486166007905137;10.0
2017-2;2021-3;Original-Original;;;JPlag;9.411764705882353;10.0
2017-3;2021-3;Original-Original;;;JPlag;9.375;9.917355371900827
2018-3;2023-3;Original-Original;;;JPlag;9.375;10.16949152542373
2017-2;2019-3;Original-Original;;;JPlag;9.31899641577061;10.833333333333334
2021-1;2016-2;Original-Original;;;JPlag;9.243697478991598;10.476190476190476
2020-1;2018-5;Original-Original;;;JPlag;9.15492957746479;10.0
2020-1;2019-2;Original-Original;;;JPlag;9.15032679738562;10.76923076923077
2019-1;2018-5;Original-Original;;;JPlag;9.059233449477352;9.774436090225564
2021-3;2022-3;Original-Original;;;JPlag;9.027777777777777;9.62962962962963
2021-2;2021-3;Original-Original;;;JPlag;9.022556390977442;9.16030534351145
2017-1;2019-2;Original-Original;;;JPlag;8.754208754208754;10.743801652892563
2023-1;2023-3;Original-Original;;;JPlag;8.29875518672199;9.70873786407767
2023-2;2019-3;Original-Original;;;JPlag;8.080808080808081;8.695652173913043
2018-3;2020-1;Original-Original;;;JPlag;8.064516129032258;8.47457627118644
2022-3;2019-2;Original-Original;;;JPlag;7.29483282674772;7.8431372549019605
2017-3;2020-1;Original-Original;;;JPlag;7.171314741035857;7.43801652892562
2021-1;2018-3;Original-Original;;;JPlag;6.278026905829597;6.666666666666667
2018-3;2023-2;Original-Original;;;JPlag;6.25;6.779661016949152
2017-2;2017-3;Original-Original;;;JPlag;5.809128630705394;5.833333333333333
2023-1;2022-3;Original-Original;;;JPlag;5.46875;6.796116504854369
2021-1;2018-5;Original-Original;;;JPlag;5.405405405405405;6.666666666666667
2023-1;2017-2;Original-Original;;;JPlag;5.381165919282512;5.825242718446602
2021-1;2017-3;Original-Original;;;JPlag;5.3097345132743365;5.714285714285714
2019-4;2017-1;Original-Original;;;JPlag;5.106382978723404;5.263157894736842
2021-1;2021-3;Original-Original;;;JPlag;5.0;5.714285714285714
2017-2;2020-1;Original-Original;;;JPlag;4.8;5.0
2021-1;2020-2;Original-Original;;;JPlag;4.743083003952568;5.714285714285714
2017-2;2019-2;Original-Original;;;JPlag;4.72972972972973;5.833333333333333
2017-3;2023-2;Original-Original;;;JPlag;4.633204633204633;4.958677685950414
2019-4;2020-2;Original-Original;;;JPlag;4.580152671755725;5.263157894736842
2023-1;2019-3;Original-Original;;;JPlag;4.580152671755725;5.825242718446602
2021-1;2019-3;Original-Original;;;JPlag;4.545454545454546;5.714285714285714
2020-1;2023-2;Original-Original;;;JPlag;4.477611940298507;4.615384615384616
2016-2;2023-2;Original-Original;;;JPlag;4.428044280442804;4.511278195488721
2019-4;2016-1;Original-Original;;;JPlag;4.240282685512367;5.263157894736842
2021-3;2019-3;Original-Original;;;JPlag;4.081632653061225;4.444444444444445
2021-2;2019-2;Original-Original;;;JPlag;3.908794788273615;4.580152671755725
2023-1;2020-1;Original-Original;;;JPlag;0.0;0.0
2021-1;2021-2;Original-Original;;;JPlag;0.0;0.0
2021-1;2022-1;Original-Original;;;JPlag;0.0;0.0
2017-2;2020-2;Original-Original;;;JPlag;0.0;0.0
2021-1;2023-2;Original-Original;;;JPlag;0.0;0.0
2023-1;2021-1;Original-Original;;;JPlag;0.0;0.0
2021-1;2023-3;Original-Original;;;JPlag;0.0;0.0
2021-1;2017-1;Original-Original;;;JPlag;0.0;0.0
2021-1;2016-1;Original-Original;;;JPlag;0.0;0.0
2021-1;2017-2;Original-Original;;;JPlag;0.0;0.0
2023-1;2019-4;Original-Original;;;JPlag;0.0;0.0
2019-3;2019-2;Original-Original;;;JPlag;0.0;0.0
2018-5;2019-3;Original-Original;;;JPlag;0.0;0.0
